subj_id,i,loss,alpha,beta,theta,noise,b_0,k,tta_crit,nondectime,halfwidth
129,0,0.4379492603914504,1.4684058809701723,0.0200166142282551,6.856088032889606,1,1.3532574841394887,0.9988890254683246,3.798705308360725,0.3634845805280016,0.036691112495716605
129,1,0.43786760846890627,1.5259537598517745,0.019582945929009526,6.806148878608529,1,1.3088246057964374,1.252036313586731,3.8022036312000163,0.3619419791528671,0.059552297426317416
129,2,0.44030433301795835,1.4708285498451126,0.019862025476439893,6.787224184788526,1,1.4772370200917582,0.9268136717238985,3.843102461217485,0.34121437765201934,0.03955171984178758
129,3,0.4373627300742487,1.493982713191023,0.01995664487225885,6.8431935063014535,1,1.3500075706999932,1.0996184643503195,3.801207519965582,0.35597996244381697,0.04315800643045345
129,4,0.4380589834080541,1.5314844212707706,0.01951944759933011,6.818089361468905,1,1.28542165011219,1.2287786356579558,3.78618873472076,0.3698802925800074,0.06507747448190274
389,0,0.31253496784745366,1.5906420838300503,0.0538363793501895,11.839470659008471,1,0.834347579703957,0.11813241030535178,5.097983337283117,0.49553481688145473,0.16900041875541044
389,1,0.31220473790920233,1.6011311979975467,0.05320710556885874,11.749100410102422,1,0.8766213092556782,0.1050419136610591,5.887552074104805,0.49618989676211195,0.17499774958837572
389,2,0.31228804696366225,1.624269465892456,0.05274966432902338,11.694584761524698,1,0.8006758832342586,0.11942361949627103,4.386376184982569,0.4964088939913753,0.17426683954774358
389,3,0.3137331027868525,1.552539440548929,0.053773811479967404,11.80799449086209,1,0.7964333201945102,0.11709779664065863,3.6338896509672654,0.486517422394237,0.17791848871712884
389,4,0.31263410856155094,1.5646914379406822,0.05364655739231289,11.79672579370412,1,0.7882823877811882,0.11249659797847811,3.489356964619721,0.4931031940395157,0.1706941844183051
525,0,0.23416692036406667,1.9865514538794828,0.025781216131943265,7.685130456558084,1,0.5511803354721652,0.1071632315214406,4.001466839233723,0.32472335619453313,0.21609348746405999
525,1,0.22300903630597443,1.2306906949137522,0.02707162608242527,7.659900416180543,1,0.8600397510206477,0.10318269862225538,3.0484252044947535,0.22213632869175393,0.13909342300022987
525,2,0.22381381080771745,1.1768459454314395,0.025951709471070672,7.5041511238487875,1,0.9153905970838911,0.10289376245961279,3.35800018753433,0.20876618713772585,0.11762709860599595
525,3,0.2234355270059655,1.1725578705144597,0.026167394282751555,7.509264861538604,1,0.9252829672576697,0.10502430323153655,3.243816162784956,0.20243209190253486,0.11065419609070073
525,4,0.23365282798649978,1.957326356649215,0.025841455995822472,7.686354296118424,1,0.5425097753986493,0.10376567194513962,3.2279856248313763,0.3203186448832945,0.2125261848624002
616,0,0.200677773996171,1.8246322410569444,0.04031198462974851,10.567450458933575,1,1.0725303261342227,0.2635665098615085,5.820826987167497,0.4980125447510678,0.1406386576290456
616,1,0.2008705534549808,1.8103708791520798,0.039549911844698686,10.451931747898344,1,0.9842117101981888,0.26470206629166954,5.034609526771313,0.4909516460051935,0.14003283894102414
616,2,0.200403222163983,1.8661359338417443,0.03942102463384738,10.45493381862692,1,0.9085913820913901,0.30475802353109976,4.714918092573432,0.49572287020298067,0.14396622411309093
616,3,0.20085721546533553,1.8098471962371685,0.04079843438937797,10.630860986166216,1,0.8507390860963222,0.30332314807604505,4.148474051593754,0.4977360555299519,0.14972595962722782
616,4,0.20078474962311182,1.8162258556239064,0.040283268445479824,10.554370416888117,1,0.9039060091082534,0.2600354584987528,4.439111626129504,0.49162250266580615,0.13021232146023895
618,0,0.5327008777701743,1.2263850542993777,0.02987381506462746,8.037802882108357,1,1.2549800785286906,0.7777116511454031,3.4055859641527375,0.19992798407269757,0.08151828045243767
618,1,0.5327460921969747,1.166279141745048,0.030980095659846933,8.085190672259703,1,1.3204048822400603,0.6952747583828108,3.21063435348657,0.17696612051295232,0.0893089796172758
618,2,0.5332835283398025,1.1807069597602418,0.03079439314985357,8.050097478655983,1,1.4561375019666285,0.5925436962966762,3.4541911086633394,0.17237195713864567,0.0752480098262119
618,3,0.5357828500964005,1.1164625316755385,0.0321868944123539,8.236052402751199,1,2.0729801637486167,0.31571156450051185,5.3343621722768635,0.1763168304041648,0.09386816361971992
618,4,0.5341513416342869,1.1640555954632217,0.03146316181691554,8.148391010997793,1,1.880604235950334,0.3768227071769183,4.6625813979872035,0.18204525678839276,0.09999335145613272
642,0,0.5119467530819697,0.4318086617817575,0.11985711346669416,19.518808478384514,1,1.4554225335174789,0.23003816636266894,5.193776096725412,0.34324781976337754,0.24408832897966928
642,1,0.5121222391537263,0.4584137414589349,0.11455071749099997,18.88625889081464,1,1.4376526995735273,0.27882563984333214,5.085280493529026,0.3526679430699519,0.2525655127157441
642,2,0.5127567942118442,0.4850524274358317,0.10782983919088249,18.017443538108562,1,1.0465569404088153,0.458613215388198,3.133306419210835,0.34241001940782767,0.25313318525779327
642,3,0.5127202787517068,0.4537818433782842,0.1158040301352389,19.01643300590403,1,1.2716198175393492,0.29037873074488374,4.122013286727088,0.35331358549267255,0.251057176554092
642,4,0.5123517922060716,0.4678787916066499,0.11342315842286842,18.80200084049998,1,1.2346283497096873,0.3209377586540312,4.209017099478715,0.35804769513536744,0.2665648068363612
755,0,0.561187224477502,0.49252428248215596,0.13433811745243732,20.420533037128568,1,1.1763156957742682,0.3996995006866796,5.850950794378578,0.37943940668164566,0.14424069524356
755,1,0.5663737266483171,0.5418481212921297,0.12397666005272782,19.254939063616074,1,0.8036962742386948,0.5463571554143004,4.278895839165207,0.38660234418517136,0.14512475454920729
755,2,0.5662265565945067,0.6091745476013168,0.1163070615287747,18.4485079777217,1,0.9373058835243115,0.4933266206721896,5.189140958589351,0.3950041525403494,0.1417034676012038
755,3,0.5628723780353811,0.5334093386281785,0.13024159308301236,20.019281237819474,1,1.0073541743666423,0.47542259949472127,5.325746080016548,0.39485927514726477,0.14697748233491675
755,4,0.561262264117043,0.5115708412243378,0.12131786718851227,18.834383913741235,1,1.2528131723917364,0.37380388301601225,5.87937213373347,0.36153686929734574,0.11430281607231567
